Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
51,No,Travel_Rarely,Sales,6,2,1,Healthcare Representative,131160,1,11,0,1,6,1,0,0
31,Yes,Travel_Frequently,Research & Development,10,1,1,Research Scientist,41890,0,23,1,6,3,5,1,4
32,No,Travel_Frequently,Research & Development,17,4,4,Sales Executive,193280,1,15,3,5,2,5,0,3
38,No,Non-Travel,Research & Development,2,5,3,Human Resources,83210,3,11,3,13,5,8,7,5
32,No,Travel_Rarely,Research & Development,10,1,1,Sales Executive,23420,4,12,2,9,2,6,0,4
46,No,Travel_Rarely,Research & Development,8,3,4,Research Director,40710,3,13,0,28,5,7,7,7
28,Yes,Travel_Rarely,Research & Development,11,2,2,Sales Executive,58130,2,20,1,5,2,0,0,0
29,No,Travel_Rarely,Research & Development,18,3,2,Sales Executive,31430,2,22,3,10,2,0,0,0
31,No,Travel_Rarely,Research & Development,1,3,3,Laboratory Technician,20440,0,21,0,10,2,9,7,8
25,No,Non-Travel,Research & Development,7,4,4,Laboratory Technician,134640,1,13,1,6,2,6,1,5
45,No,Travel_Rarely,Research & Development,17,2,2,Laboratory Technician,79910,0,13,2,21,2,20,4,10
36,No,Travel_Rarely,Research & Development,28,1,1,Laboratory Technician,33770,0,12,2,16,2,15,10,11
55,No,Travel_Rarely,Research & Development,14,4,1,Sales Executive,55380,0,17,0,37,2,36,4,13
47,Yes,Non-Travel,Research & Development,1,1,1,Research Scientist,57620,1,11,2,10,4,10,9,9
28,No,Travel_Rarely,Research & Development,1,3,1,Manufacturing Director,25920,1,14,0,5,2,5,0,4
37,No,Travel_Rarely,Research & Development,1,3,2,Healthcare Representative,53460,4,11,0,7,2,5,0,1
21,No,Travel_Rarely,Research & Development,3,2,1,Laboratory Technician,42130,1,12,3,3,3,3,1,0
37,No,Non-Travel,Research & Development,1,3,2,Sales Executive,41270,2,13,1,15,2,5,0,2
35,No,Travel_Rarely,Sales,7,4,1,Sales Representative,24380,7,16,0,10,5,7,6,2
38,No,Travel_Rarely,Research & Development,8,3,1,Manager,68700,1,11,1,8,5,8,7,7
26,No,Travel_Frequently,Research & Development,1,4,2,Laboratory Technician,104470,1,18,0,6,3,6,1,4
50,No,Travel_Rarely,Sales,8,4,1,Research Scientist,96670,3,23,0,28,2,10,1,6
53,No,Travel_Rarely,Research & Development,11,4,2,Research Scientist,21480,3,11,0,21,2,5,1,3
42,No,Travel_Rarely,Research & Development,4,4,1,Manufacturing Director,89260,1,14,0,20,4,20,11,6
29,No,Travel_Frequently,Research & Development,16,4,1,Laboratory Technician,65130,1,11,1,10,2,10,0,9
55,No,Travel_Rarely,Research & Development,1,4,1,Research Scientist,67990,3,11,0,12,2,10,0,8
26,No,Travel_Frequently,Research & Development,9,3,1,Manager,162910,1,22,0,5,3,5,3,3
37,No,Travel_Rarely,Sales,5,1,1,Research Scientist,27050,1,11,0,17,2,17,5,7
44,Yes,Travel_Frequently,Research & Development,1,2,2,Research Scientist,103330,3,14,1,19,2,1,0,0
38,No,Travel_Rarely,Sales,2,3,1,Manager,44480,9,12,0,10,3,2,1,2
26,Yes,Travel_Rarely,Research & Development,4,3,3,Research Scientist,68540,2,11,0,5,5,3,0,2
28,No,Travel_Rarely,Research & Development,7,3,1,Human Resources,96370,1,13,0,5,6,5,0,2
49,No,Travel_Frequently,Research & Development,1,1,2,Research Scientist,35910,9,13,0,22,2,3,1,2
36,No,Travel_Rarely,Sales,5,3,3,Sales Executive,54050,4,14,0,10,2,8,7,7
31,No,Travel_Frequently,Research & Development,9,4,1,Sales Executive,46840,1,16,1,2,4,2,2,2
